FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;QRESIDUOS_MUN;PERIODO;TASA_URBANIZACION;KG_PER_CAPITA;LOG_POB_TOTAL;LOG_KG_PER_CAPITA;CLUSTER;TIPO_CLUSTER
9012023;59;10517;SIERRA;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;826;386;440;90.53;2014;0.46731234866828086;109.60048426150121;6.717804695023691;4.705924467573235;0;Intermedio
9012023;60;10518;SIERRA;AMAZONAS;LUYA;SAN JERONIMO;909;350;559;82.08;2014;0.385038503850385;90.29702970297029;6.813444599510896;4.514118253697882;0;Intermedio
9012023;61;10519;SELVA;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;524;78;446;24.67;2014;0.14885496183206107;47.08015267175573;6.263398262591624;3.872869465591206;1;Rural / baja generación
9012023;62;10520;SIERRA;AMAZONAS;LUYA;SANTA CATALINA;1888;470;1418;110.19;2014;0.2489406779661017;58.36334745762712;7.543802867501509;4.08367698974937;1;Rural / baja generación
9012023;63;10521;SELVA;AMAZONAS;LUYA;SANTO TOMAS;3619;1091;2528;346.21;2014;0.30146449295385463;95.6645482177397;8.194229304819817;4.571246719083374;1;Rural / baja generación
9012023;64;10522;SIERRA;AMAZONAS;LUYA;TINGO;1352;703;649;164.64;2014;0.5199704142011834;121.77514792899409;7.210079628170788;4.8103546168033775;0;Intermedio
9012023;65;10523;SIERRA;AMAZONAS;LUYA;TRITA;1378;824;554;192.95;2014;0.5979680696661829;140.02177068214803;7.229113877793302;4.948914280460456;0;Intermedio
9012023;66;10601;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;5255;3646;1609;1157.4;2014;0.6938154138915319;220.24738344433874;8.567125560164447;5.399281457577832;0;Intermedio
9012023;67;10602;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;2048;117;1931;37.06;2014;0.05712890625;18.095703125;7.6251071482389;2.9494633424661636;1;Rural / baja generación
9012023;68;10603;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;519;412;107;130.9;2014;0.7938342967244701;252.21579961464354;6.253828811575473;5.534242088065116;0;Intermedio
9012023;69;10604;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;2711;582;2129;184.72;2014;0.2146809295462929;68.13721873847288;7.905441649060286;4.236093207165321;1;Rural / baja generación
9012023;70;10605;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;2999;648;2351;205.68;2014;0.21607202400800266;68.58286095365122;8.006367567650246;4.242518286349769;1;Rural / baja generación
9012023;71;10606;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;1667;913;754;289.88;2014;0.5476904619076185;173.89322135572885;7.419380582918692;5.16417562401635;0;Intermedio
9012023;72;10607;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;1417;879;538;279.03;2014;0.6203246294989414;196.91601976005646;7.257002707092073;5.287842798094632;0;Intermedio
9012023;73;10608;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;622;358;264;113.58;2014;0.5755627009646302;182.60450160771705;6.434546518787453;5.212783996446365;0;Intermedio
9012023;74;10609;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;9364;802;8562;254.56;2014;0.0856471593336181;27.184963690730456;9.144734614878189;3.3387886332847203;1;Rural / baja generación
9012023;75;10610;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;480;135;345;42.89;2014;0.28125;89.35416666666667;6.175867270105761;4.503737132927475;0;Intermedio
9012023;76;10611;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;462;125;337;39.81;2014;0.27056277056277056;86.16883116883118;6.137727054086234;4.467846826293358;0;Intermedio
9012023;77;10612;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;3342;709;2633;225.18;2014;0.21214841412327948;67.37881508078995;8.114623886420098;4.225063055613955;1;Rural / baja generación
9012023;78;10701;SIERRA;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;53335;33246;20089;9757.92;2014;0.6233430205306084;182.95528264741728;10.884366804297896;5.214692698982507;2;Urbano / alta generación
9012023;79;10702;SELVA;AMAZONAS;UTCUBAMBA;CAJARURO ;28523;8730;19793;2771.32;2014;0.3060687865932756;97.1608877046594;10.258501117148194;4.586607843807765;1;Rural / baja generación
9012023;80;10703;SIERRA;AMAZONAS;UTCUBAMBA;CUMBA;8955;2719;6236;793.97;2014;0.3036292573981016;88.66219988833055;9.100078977718645;4.496049274321124;1;Rural / baja generación
9012023;81;10704;SIERRA;AMAZONAS;UTCUBAMBA;EL MILAGRO;6376;1696;4680;397.25;2014;0.2659974905897114;62.30395232120452;8.760453046315272;4.147947765134685;1;Rural / baja generación
9012023;82;10705;SIERRA;AMAZONAS;UTCUBAMBA;JAMALCA;8216;1506;6710;352.9;2014;0.18330087633885103;42.952775073028235;9.013960457931187;3.783115763731201;1;Rural / baja generación
9012023;83;10706;SELVA;AMAZONAS;UTCUBAMBA;LONYA GRANDE;10374;3409;6965;1082.13;2014;0.32860998650472334;104.31174089068826;9.247154345098899;4.656924912361065;1;Rural / baja generación
9012023;84;10707;SIERRA;AMAZONAS;UTCUBAMBA;YAMON;2935;559;2376;131.06;2014;0.19045996592844974;44.654173764906304;7.984803389734406;3.8210950325418525;1;Rural / baja generación
9012023;85;20101;SIERRA;ANCASH;HUARAZ;HUARAZ;63327;56780;6547;16283.61;2014;0.8966159773872124;257.1353451134587;11.056082848402292;5.553484040833588;2;Urbano / alta generación
9012023;86;20102;SIERRA;ANCASH;HUARAZ;COCHABAMBA;2006;461;1545;107.9;2014;0.22981056829511465;53.78863409770688;7.604396348796338;4.003482765466017;1;Rural / baja generación
9012023;87;20103;SIERRA;ANCASH;HUARAZ;COLCABAMBA;783;430;353;100.85;2014;0.5491698595146871;128.79948914431674;6.664409020350408;4.865990868548198;0;Intermedio
9012023;88;20104;SIERRA;ANCASH;HUARAZ;HUANCHAY;2324;367;1957;86.09;2014;0.1579173838209983;37.04388984509466;7.751475318021456;3.6387404891552877;1;Rural / baja generación
9012023;89;20105;SIERRA;ANCASH;HUARAZ;INDEPENDENCIA;72423;58251;14172;15337.75;2014;0.8043163083550806;211.78009748284384;11.190293015155277;5.360259226227244;2;Urbano / alta generación
9012023;90;20106;SIERRA;ANCASH;HUARAZ;JANGAS;4932;1976;2956;462.91;2014;0.4006488240064882;93.85847526358475;8.503702601233739;4.552386046775924;1;Rural / baja generación
9012023;91;20107;SIERRA;ANCASH;HUARAZ;LA LIBERTAD;1183;314;869;73.62;2014;0.2654268808114962;62.23161453930685;7.076653815443951;4.146804406131791;1;Rural / baja generación
9012023;92;20108;SIERRA;ANCASH;HUARAZ;OLLEROS;2285;1232;1053;244.18;2014;0.5391684901531729;106.86214442013129;7.734558844354756;4.680853971225736;0;Intermedio
9012023;93;20109;SIERRA;ANCASH;HUARAZ;PAMPAS;1211;381;830;89.23;2014;0.314616019818332;73.68290668868704;7.10002716662926;4.313251239832086;1;Rural / baja generación
9012023;94;20110;SIERRA;ANCASH;HUARAZ;PARIACOTO;4697;1371;3326;321.13;2014;0.29188843942942305;68.36917181179476;8.454892165218858;4.239442558617492;1;Rural / baja generación
9012023;95;20111;SIERRA;ANCASH;HUARAZ;PIRA;3792;502;3290;117.59;2014;0.13238396624472573;31.010021097046412;8.2409125416889;3.4660490130582935;1;Rural / baja generación
9012023;96;20112;SIERRA;ANCASH;HUARAZ;TARICA;5805;1636;4169;324.13;2014;0.2818260120585702;55.83634797588286;8.666647144584575;4.040176050212623;1;Rural / baja generación
9012023;97;20201;SIERRA;ANCASH;AIJA;AIJA;1903;994;909;232.98;2014;0.5223331581713084;122.42774566473989;7.55171221535131;4.815655929510135;0;Intermedio
9012023;98;20202;SIERRA;ANCASH;AIJA;CORIS;2234;477;1757;111.78;2014;0.2135183527305282;50.03581020590868;7.711996507047669;3.9325275472248657;1;Rural / baja generación
9012023;99;20203;SIERRA;ANCASH;AIJA;HUACLLAN;611;365;246;85.47;2014;0.5973813420621932;139.88543371522096;6.416732282512326;4.94794703325691;0;Intermedio
9012023;100;20204;SIERRA;ANCASH;AIJA;LA MERCED;2251;291;1960;68.11;2014;0.12927587738782764;30.25766326077299;7.719573989259581;3.4422645704645713;1;Rural / baja generación
9012023;101;20205;SIERRA;ANCASH;AIJA;SUCCHA;853;351;502;82.14;2014;0.4114888628370457;96.29542790152404;6.74993119378857;4.577751998381064;0;Intermedio
9012023;102;20301;SIERRA;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;3643;1710;1933;400.68;2014;0.4693933571232501;109.98627504803733;8.200837258379849;4.709406545451383;0;Intermedio
9012023;103;20302;SIERRA;ANCASH;ANTONIO RAYMONDI;ACZO;2212;432;1780;101.11;2014;0.19529837251356238;45.70976491862568;7.70210434005105;3.843953241716631;1;Rural / baja generación
9012023;104;20303;SIERRA;ANCASH;ANTONIO RAYMONDI;CHACCHO;1753;529;1224;123.82;2014;0.3017683970336566;70.63320022818026;7.469654172932128;4.271558656833169;1;Rural / baja generación
9012023;105;20304;SIERRA;ANCASH;ANTONIO RAYMONDI;CHINGAS;1962;690;1272;161.56;2014;0.3516819571865443;82.34454638124363;7.5822291942764615;4.422983176717136;1;Rural / baja generación
9012023;106;20305;SIERRA;ANCASH;ANTONIO RAYMONDI;MIRGAS;5348;668;4680;156.52;2014;0.12490650710545999;29.267015706806284;8.58466490653125;3.410058529035846;1;Rural / baja generación
9012023;107;20306;SIERRA;ANCASH;ANTONIO RAYMONDI;SAN JUAN DE RONTOY;1645;227;1418;53.12;2014;0.13799392097264437;32.29179331306991;7.406103381237015;3.5053109195583745;1;Rural / baja generación
9012023;108;20401;SIERRA;ANCASH;ASUNCIÓN;CHACAS;5568;2173;3395;509.16;2014;0.39026580459770116;91.44396551724138;8.624970783589669;4.526602682768652;1;Rural / baja generación
9012023;109;20402;SIERRA;ANCASH;ASUNCIÓN;ACOCHACA;3301;195;3106;45.74;2014;0.059073008179339595;13.856407149348682;8.102283624480073;2.6984312300661246;1;Rural / baja generación
9012023;110;20501;SIERRA;ANCASH;BOLOGNESI;CHIQUIAN;3723;3387;336;793.45;2014;0.9097502014504432;213.1211388665055;8.222553638396958;5.366541924334618;0;Intermedio
9012023;111;20502;SIERRA;ANCASH;BOLOGNESI;ABELARDO PARDO LEZAMETA;1129;811;318;189.98;2014;0.7183348095659876;168.27280779450842;7.029972911706386;5.131511660731113;0;Intermedio
9012023;112;20503;SIERRA;ANCASH;BOLOGNESI;ANTONIO RAYMONDI;1099;306;793;71.65;2014;0.278434940855323;65.19563239308462;7.003065458786462;4.192614484831177;1;Rural / baja generación
9012023;113;20504;SIERRA;ANCASH;BOLOGNESI;AQUIA;2574;1332;1242;312.05;2014;0.5174825174825175;121.23154623154623;7.853604813097837;4.805917165889525;0;Intermedio
9012023;114;20505;SIERRA;ANCASH;BOLOGNESI;CAJACAY;1623;612;1011;143.43;2014;0.37707948243992606;88.37338262476895;7.392647520721623;4.492822904344346;0;Intermedio
9012023;115;20506;SIERRA;ANCASH;BOLOGNESI;CANIS;1166;1117;49;261.7;2014;0.9579759862778731;224.442538593482;7.062191632286556;5.4180653087039055;0;Intermedio
9012023;116;20507;COSTA;ANCASH;BOLOGNESI;COLQUIOC;3896;2002;1894;484.28;2014;0.5138603696098563;124.30184804928132;8.26796230533871;4.830725610789916;0;Intermedio
9012023;117;20508;SIERRA;ANCASH;BOLOGNESI;HUALLANCA;8288;4852;3436;1136.66;2014;0.5854247104247104;137.14527027027026;9.022684613591526;4.928305814592766;0;Intermedio
9012023;118;20509;SIERRA;ANCASH;BOLOGNESI;HUASTA;2563;1702;861;398.64;2014;0.6640655481857198;155.53648068669528;7.849323818040561;5.053289086245187;0;Intermedio
9012023;119;20510;SIERRA;ANCASH;BOLOGNESI;HUAYLLACAYAN;1133;229;904;53.67;2014;0.20211827007943514;47.36981465136805;7.033506484287697;3.8788759549352214;1;Rural / baja generación
9012023;120;20511;SIERRA;ANCASH;BOLOGNESI;LA PRIMAVERA;878;668;210;156.54;2014;0.7608200455580866;178.29157175398635;6.778784897685177;5.189013373114653;0;Intermedio
9012023;121;20512;SIERRA;ANCASH;BOLOGNESI;MANGAS;572;457;115;107.11;2014;0.798951048951049;187.25524475524475;6.35088571671474;5.237798726877534;0;Intermedio
9012023;122;20513;SIERRA;ANCASH;BOLOGNESI;PACLLON;1706;1478;228;346.36;2014;0.8663540445486518;203.02461899179366;7.442492722794441;5.318240667895132;0;Intermedio
9012023;123;20514;SIERRA;ANCASH;BOLOGNESI;SAN MIGUEL DE CORPANQUI;1176;904;272;211.68;2014;0.7687074829931972;180.0;7.0707241072602764;5.198497031265826;0;Intermedio
9012023;124;20515;SIERRA;ANCASH;BOLOGNESI;TICLLOS;1213;1139;74;266.74;2014;0.9389942291838417;219.90107172300083;7.101675971619444;5.397714962034949;0;Intermedio
9012023;125;20601;SIERRA;ANCASH;CARHUAZ;CARHUAZ;15230;7971;7259;1867.29;2014;0.5233749179251478;122.60604070912672;9.631088103615504;4.817099416880529;2;Urbano / alta generación
9012023;126;20602;SIERRA;ANCASH;CARHUAZ;ACOPAMPA;2647;920;1727;215.6;2014;0.3475632791839819;81.4506989044201;7.881559917056899;4.412200525675807;1;Rural / baja generación
9012023;127;20603;SIERRA;ANCASH;CARHUAZ;AMASHCA;1598;708;890;165.93;2014;0.4430538172715895;103.8360450563204;7.377133712833954;4.652397654129768;0;Intermedio
9012023;128;20604;SIERRA;ANCASH;CARHUAZ;ANTA;2491;646;1845;151.32;2014;0.25933360096346847;60.74668807707748;7.820840879907344;4.1230403396904;1;Rural / baja generación
9012023;129;20605;SIERRA;ANCASH;CARHUAZ;ATAQUERO;1399;257;1142;60.17;2014;0.1837026447462473;43.00929235167977;7.24422751560335;3.7844008014317363;1;Rural / baja generación
